WILAYAH_KERJA,OPERATOR,AFE_NO,BUDGET_SCHEDULE,AFE_STATUS,CONTRACT_AREA,CONTRACT_AREA_NO,ACTIVITY_CODE,BASIN,SURVEY_TYPE,OBJECTIVE,LOCATION,MEETING_DATE,PLATFORM_TRIPOD,SAMPLE,SINGLE_DUAL_TRIPLE,PROJECT_NAME,PROJECT_TYPE,WELL_NAME,WELL_TYPE,PROGRAM_NAME,PROGRAM_NO,ESP,KM,MAN_HOURS,MUD_TYPE,HORSE_POWER,IMPURITIES_CONTENT,DIAMETER,SHOOT_POINT,TROUGHPUT,CAPACITY,OG_RESERVOIR,EVALUATION_NOTE,EXTERNAL_JUSTIFICATION,POD_REF_NO,EST_PRODUCTION_GAIN,FIELD,STRUCTURE,ELEVATION,ELEVATION_KB,SURFACE_COORDINATE_LATITUDE,SURFACE_COORDINATE_LONGITUDE,TARGET_EVALUASI,CASHING_MATERIAL,PLAN__TOTAL_DEPTH,PLAN_WELL_COST_PER_DAY,PLAN_WELL_COST_PER_FOOT,PLAN_DRILLING_DAYS,PLAN_MOVING_DAYS,PLAN_MOB_DEMOB,WPAB,WPAB_REF_NO,CREATED_DATE,EST_START_DATE
SUMATERA,PERTAMINA HULU,24-0000-E,18E - Exploration & Exploitation,Approved,SUMATERA BLOCK PSC,CA-100,G&G,INDONESIA BASIN,SEISMIC 3D,Structure Mapping,Site-0,2/1/2024 0:00,Yes,Rock Core,Dual,Project-0,Development,Well-0,Appraisal,Standard Program,PROG-0,No,131.37,2834,Water Based Mud,1459,Low,9.9,SP-0,Moderate,Low,Layer-0,Satisfactory analysis result.,Strategic asset development,POD-0,2005,Field-0,Structure-0,88.1,3.5,-0.5309,111.4,Target-0,Composite,1197,174416,47,10,5,3,WPAB-0,REF-0,1/1/2024 0:00,3/1/2024 0:00
SUMATERA,BP INDONESIA,24-0001-E,18E - Exploration & Exploitation,Closed Out,BINTUNI BLOCK PSC,CA-101,G&G,INDONESIA BASIN,MAGNETIC,Reservoir Imaging,Site-1,2/2/2024 0:00,Yes,Rock Core,Single,Project-1,Exploration,Well-1,Development,Standard Program,PROG-1,No,146.67,2194,Oil Based Mud,569,Low,9.1,SP-1,Low,Low,Layer-1,Satisfactory analysis result.,Strategic asset development,POD-1,2174,Field-1,Structure-1,59.5,1.7,-0.6615,136.6459,Target-1,Composite,3514,156245,34,28,2,1,WPAB-1,REF-1,1/1/2024 0:00,3/2/2024 0:00
MAHAKAM,CONOCOPHILLIPS,24-0002-E,18E - Exploration & Exploitation,Closed Out,MAHAKAM BLOCK PSC,CA-102,G&G,INDONESIA BASIN,MAGNETIC,Reservoir Imaging,Site-2,2/3/2024 0:00,Yes,Rock Core,Single,Project-2,Development,Well-2,Exploration,Standard Program,PROG-2,No,99.95,2119,Oil Based Mud,1306,High,10.1,SP-2,High,Medium,Layer-2,Satisfactory analysis result.,Strategic asset development,POD-2,2755,Field-2,Structure-2,41.8,1.2,-0.7557,137.4328,Target-2,Steel,1840,111535,45,32,2,1,WPAB-2,REF-2,1/1/2024 0:00,3/3/2024 0:00
BINTUNI,PERTAMINA HULU,24-0003-E,18E - Exploration & Exploitation,Closed Out,BARITO BLOCK PSC,CA-103,G&G,INDONESIA BASIN,SEISMIC 2D,Structure Mapping,Site-3,2/4/2024 0:00,Yes,Rock Core,Single,Project-3,Development,Well-3,Exploration,Standard Program,PROG-3,Yes,111.29,1144,Water Based Mud,882,Low,6.4,SP-3,High,Low,Layer-3,Satisfactory analysis result.,Strategic asset development,POD-3,2148,Field-3,Structure-3,39,2.2,-2.0576,112.2911,Target-3,Steel,2662,147551,36,38,4,3,WPAB-3,REF-3,1/1/2024 0:00,3/4/2024 0:00
MAHAKAM,CONOCOPHILLIPS,24-0004-E,18E - Exploration & Exploitation,Draft,SUMATERA BLOCK PSC,CA-104,G&G,INDONESIA BASIN,SEISMIC 3D,Reservoir Imaging,Site-4,2/5/2024 0:00,Yes,Rock Core,Dual,Project-4,Exploration,Well-4,Appraisal,Standard Program,PROG-4,No,66.24,1589,Oil Based Mud,1212,High,11.2,SP-4,High,High,Layer-4,Satisfactory analysis result.,Strategic asset development,POD-4,2267,Field-4,Structure-4,71.4,4.8,-2.6441,129.7517,Target-4,Steel,2715,158372,44,37,2,1,WPAB-4,REF-4,1/1/2024 0:00,3/5/2024 0:00
MAHAKAM,CONOCOPHILLIPS,24-0005-E,18E - Exploration & Exploitation,Closed Out,BINTUNI BLOCK PSC,CA-105,G&G,INDONESIA BASIN,SEISMIC 3D,Structure Mapping,Site-5,2/6/2024 0:00,No,Rock Core,Triple,Project-5,Exploration,Well-5,Appraisal,Standard Program,PROG-5,Yes,131.02,2273,Oil Based Mud,1354,High,10.6,SP-5,Low,High,Layer-5,Satisfactory analysis result.,Strategic asset development,POD-5,1122,Field-5,Structure-5,71,4.1,-2.8152,138.6719,Target-5,Composite,1676,110785,40,31,5,2,WPAB-5,REF-5,1/1/2024 0:00,3/6/2024 0:00
SERAM,CONOCOPHILLIPS,24-0006-E,18E - Exploration & Exploitation,Approved,BINTUNI BLOCK PSC,CA-106,G&G,INDONESIA BASIN,MAGNETIC,Reservoir Imaging,Site-6,2/7/2024 0:00,Yes,Rock Core,Single,Project-6,Exploration,Well-6,Development,Standard Program,PROG-6,No,57.38,1175,Oil Based Mud,1306,Low,10.9,SP-6,High,Medium,Layer-6,Satisfactory analysis result.,Strategic asset development,POD-6,1215,Field-6,Structure-6,99.4,2.1,-0.8394,99.4698,Target-6,Steel,3354,111085,48,27,2,3,WPAB-6,REF-6,1/1/2024 0:00,3/7/2024 0:00
SERAM,CONOCOPHILLIPS,24-0007-E,18E - Exploration & Exploitation,Closed Out,SUMATERA BLOCK PSC,CA-107,G&G,INDONESIA BASIN,SEISMIC 2D,Reservoir Imaging,Site-7,2/8/2024 0:00,Yes,Rock Core,Single,Project-7,Exploration,Well-7,Exploration,Standard Program,PROG-7,No,133.75,2134,Water Based Mud,717,High,10.6,SP-7,Moderate,Medium,Layer-7,Satisfactory analysis result.,Strategic asset development,POD-7,1413,Field-7,Structure-7,28.9,2.4,-2.1868,128.0219,Target-7,Steel,2931,135138,45,24,5,2,WPAB-7,REF-7,1/1/2024 0:00,3/8/2024 0:00
SUMATERA,BP INDONESIA,24-0008-E,18E - Exploration & Exploitation,Approved,BARITO BLOCK PSC,CA-108,G&G,INDONESIA BASIN,MAGNETIC,Reservoir Imaging,Site-8,2/9/2024 0:00,Yes,Rock Core,Triple,Project-8,Development,Well-8,Development,Standard Program,PROG-8,Yes,107.56,1910,Water Based Mud,1117,High,8.4,SP-8,Moderate,Low,Layer-8,Satisfactory analysis result.,Strategic asset development,POD-8,2726,Field-8,Structure-8,31.9,2.9,-2.2059,135.9754,Target-8,Steel,2378,158163,33,22,5,3,WPAB-8,REF-8,1/1/2024 0:00,3/9/2024 0:00
MAHAKAM,CONOCOPHILLIPS,24-0009-E,18E - Exploration & Exploitation,Closed Out,MAHAKAM BLOCK PSC,CA-109,G&G,INDONESIA BASIN,SEISMIC 3D,Stratigraphic Correlation,Site-9,2/10/2024 0:00,Yes,Rock Core,Triple,Project-9,Development,Well-9,Development,Standard Program,PROG-9,Yes,61.59,2216,Water Based Mud,1096,Low,10.4,SP-9,Low,High,Layer-9,Satisfactory analysis result.,Strategic asset development,POD-9,2175,Field-9,Structure-9,87.7,4.8,-1.1984,98.6958,Target-9,Steel,2955,120955,35,22,3,2,WPAB-9,REF-9,1/1/2024 0:00,3/10/2024 0:00
